[2013-07-26 22:41:08]	ny.stream.rock.net	45	SongPlayed	6539	195
[2013-07-26 22:51:49]	wa.stream.rock.net	99	SongPlayed	6211	46
[2013-07-26 23:01:28]	ny.stream.rock.net	626	SongPlayed	4386	134
[2013-07-26 23:18:25]	wa.stream.rock.net	542	SongPlayed	3687	36
[2013-07-26 23:19:12]	bos.stream.rock.net	579	SongPlayed	3071	149
[2013-07-26 23:19:21]	bos.stream.rock.net	930	Follow	614
[2013-07-26 23:23:05]	phi.stream.rock.net	637	SongPlayed	5849	219
[2013-07-26 23:39:21]	bos.stream.rock.net	421	SongPlayed	5412	201
[2013-07-26 23:39:24]	phi.stream.rock.net	783	Follow	587
[2013-07-26 23:39:50]	phi.stream.rock.net	180	SongPlayed	4530	182
[2013-07-26 23:41:17]	bos.stream.rock.net	306	SongPlayed	419	312
[2013-07-26 23:42:55]	wa.stream.rock.net	828	SongPlayed	3673	172
[2013-07-26 23:42:59]	phi.stream.rock.net	765	Follow	307
[2013-07-27 00:29:29]	ny.stream.rock.net	585	SongPlayed	3500	95
[2013-07-27 00:32:54]	phi.stream.rock.net	791	SongPlayed	510	47
[2013-07-27 00:54:20]	wa.stream.rock.net	988	SongPlayed	1155	51
[2013-07-27 01:09:39]	bos.stream.rock.net	84	SongPlayed	1923	201
[2013-07-27 01:09:41]	phi.stream.rock.net	161	Follow	884
[2013-07-27 01:21:35]	phi.stream.rock.net	180	SongPlayed	4180	19
[2013-07-27 01:41:20]	phi.stream.rock.net	665	SongPlayed	1986	138
[2013-07-27 01:57:31]	ny.stream.rock.net	382	SongPlayed	371	160
[2013-07-27 02:39:26]	wa.stream.rock.net	574	SongPlayed	1952	INF
[2013-07-27 03:29:08]	ny.stream.rock.net	193	SongPlayed	677	190
[2013-07-27 03:29:16]	bos.stream.rock.net	179	Follow	650
[2013-07-27 03:29:14]	phi.stream.rock.net	582	Follow	98
[2013-07-27 03:35:42]	ny.stream.rock.net	45	SongPlayed	4359	149
[2013-07-27 03:43:35]	wa.stream.rock.net	808	SongPlayed	3277	193
[2013-07-27 03:48:09]	bos.stream.rock.net	585	SongPlayed	5925	84
[2013-07-27 05:23:46]	ny.stream.rock.net	80	SongPlayed	682	124
[2013-07-27 05:36:38]	bos.stream.rock.net	853	SongPlayed	3246	-1
[2013-07-27 05:39:13]	ny.stream.rock.net	45	SongPlayed	2591	32
[2013-07-27 05:43:43]	wa.stream.rock.net	86	SongPlayed	5684	-15
[2013-07-27 06:04:14]	wa.stream.rock.net	328	SongPlayed	3279	19
[2013-07-27 06:35:17]	bos.stream.rock.net	685	SongPlayed	2496	253
[2013-07-27 07:01:00]	ny.stream.rock.net	154	SongPlayed	4635	404
[2013-07-27 07:52:01]	wa.stream.rock.net	45	SongPlayed	4990	80
[2013-07-27 07:55:32]	wa.stream.rock.net	186	SongPlayed	333	33
[2013-07-27 08:13:58]	phi.stream.rock.net	808	SongPlayed	5107	137
[2013-07-27 08:14:13]	phi.stream.rock.net	808	SongPlayed	2560	213
[2013-07-27 08:15:18]	ny.stream.rock.net	808	SongPlayed	804	151
[2013-07-27 08:17:40]	wa.stream.rock.net	960	SongPlayed	1590	311
[2013-07-27 08:17:43]	bos.stream.rock.net	579	SongPlayed	390	150
[2013-07-27 08:17:45]	wa.stream.rock.net	78	Follow	264
[2013-07-27 08:18:54]	phi.stream.rock.net	627	SongPlayed	6041	283
[2013-07-27 08:20:31]	wa.stream.rock.net	263	SongPlayed	6287	10075
[2013-07-27 08:20:40]	wa.stream.rock.net	897	Follow	813
[2013-07-27 08:25:20]	bos.stream.rock.net	853	SongPlayed	791	87
[2013-07-27 08:31:53]	phi.stream.rock.net	791	SongPlayed	315	97
[2013-07-27 08:40:07]	bos.stream.rock.net	853	SongPlayed	3117	411
[2013-07-27 08:41:26]	wa.stream.rock.net	579	SongPlayed	943	-11
[2013-07-27 08:56:59]	bos.stream.rock.net	858	SongPlayed	266	147
[2013-07-27 09:10:05]	ny.stream.rock.net	69	SongPlayed	3275	81
[2013-07-27 09:40:36]	bos.stream.rock.net	542	SongPlayed	6605	184
[2013-07-27 09:56:11]	phi.stream.rock.net	263	SongPlayed	5349	-21
[2013-07-27 09:56:20]	bos.stream.rock.net	33	Follow	210
[2013-07-27 09:57:30]	bos.stream.rock.net	808	SongPlayed	5859	INF
[2013-07-27 10:03:46]	phi.stream.rock.net	99	SongPlayed	6268	25
[2013-07-27 10:17:14]	ny.stream.rock.net	417	SongPlayed	4550	253
[2013-07-27 10:24:11]	ny.stream.rock.net	810	SongPlayed	3622	59
[2013-07-27 10:28:05]	phi.stream.rock.net	808	SongPlayed	2678	10151
[2013-07-27 10:30:10]	wa.stream.rock.net	842	SongPlayed	2576	279
